,DRL,MVO
Annual return,0.08481312995939505,0.10175244824470088
Cumulative returns,0.08393704307828596,0.10111289476462783
Annual volatility,0.14997912676653083,0.15238448835226429
Sharpe ratio,0.8420946724176224,0.8645509411977426
Calmar ratio,1.927743046222284,1.6198476704687128
Stability,0.6033115927344948,0.489277510211778
Max drawdown,-0.3299307319256126,-0.333558735624961
Omega ratio,2.1787477972635494,2.1669887405586423
Sortino ratio,0.8710111454294409,0.8525212450420112
Skew,-0.0786136122330431,-0.4157125775649436
Kurtosis,3.38749480860048,2.842820199809494
Tail ratio,1.0237765095526234,0.9752418500782613
Daily value at risk,-0.014509119369007784,-0.015048112131939117
Portfolio turnover,0.8937962848212505,0.268087153341059
